"Unemployment in per cent of the labour force (provisional) by sex, age, region and time",,,,,,,,,,,,,,,,
Units: Per cent,,,,,,,,,,,,,,,,
,,,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,,
,,Bornholm,5.4,5,5.1,6.5,6.8,5.9,4.6,4.2,4.2,4.6,5.5,6,,5.32
,,Region Sjælland,5.4,5,5.1,6.5,6.8,5.9,4.6,4.2,4.2,4.6,5.5,6,,5.32
,,Province Østsjælland,3.7,3.7,4,4.6,4.9,4.7,4.3,4.1,4,4,3.9,4.1,,4.17
,,Greve,3,3,3.2,3.7,4.1,4,3.8,3.6,3.6,3.6,3.5,3.6,,3.56
,,Køge,3,2.9,3.2,3.8,4.3,4.2,3.9,3.7,3.7,3.7,3.7,3.7,,3.65
,,Lejre,3.4,3.3,3.5,3.9,4.1,4.1,3.8,3.5,3.6,3.6,3.6,3.7,,3.68
,,Roskilde,2.7,2.7,2.9,3.4,3.8,3.9,3.6,3.4,3.6,3.6,3.5,3.5,,3.38
,,Solrød,3,3,3.2,3.7,4,4,3.9,3.8,3.7,3.6,3.5,3.6,,3.58
,,Province Vest- og Sydsjælland,2.7,2.7,2.8,3.4,3.8,3.8,3.6,3.5,3.2,3.1,3.1,3.2,,3.24
,,Faxe,4.1,4.1,4.3,5.1,5.2,5,4.5,4.3,4.2,4.1,4.1,4.3,,4.44
,,Guldborgsund,3.7,3.7,3.9,4.6,5,4.7,4.2,4.1,3.9,3.9,3.9,4,,4.13
,,Holbæk,4.8,4.9,5.1,5.9,6,5.7,5.1,4.6,4.6,4.5,4.4,4.7,,5.03
,,Kalundborg,3.1,3.1,3.3,4,4.1,3.9,3.5,3.6,3.5,3.5,3.4,3.4,,3.53
,,Lolland,4,4,4.1,4.8,4.9,4.5,4.1,3.8,3.9,3.9,3.8,4.2,,4.17
,,Næstved,5.5,5.3,5.7,6.6,6.8,6.2,5.3,5.3,5.2,5.3,5.4,5.5,,5.68
,,Odsherred,4.1,4.2,4.4,5.1,5.2,5,4.5,4.2,4.1,4.1,4.1,4.3,,4.44
,,Ringsted,4.1,4.2,4.2,5,5.3,5,4.4,4.5,4.6,4.5,4.4,4.4,,4.55
,,Slagelse,3.3,3.4,3.6,4.2,4.5,4.3,4.1,3.9,3.9,3.8,3.7,3.8,,3.88
,,Sorø,4.4,4.5,4.7,5.5,5.7,5.5,5.2,4.9,4.7,4.7,4.7,4.9,,4.95
,,Stevns,3.7,3.7,4.3,5.1,5.3,5,4.2,4.1,3.8,3.6,3.6,3.7,,4.18
,,Vordingborg,3.4,3.4,3.8,4.5,4.6,4.5,3.9,3.7,3.7,3.5,3.6,3.8,,3.87
,,Region Syddanmark,4.6,4.6,4.8,5.5,5.8,5.4,4.9,4.6,4.5,4.5,4.5,4.8,,4.88
,,Province Fyn,4,4,4.3,4.9,5.2,4.9,4.5,4.4,4.2,4.1,4.1,4.2,,4.40
,,Assens,4.5,4.5,4.8,5.6,5.8,5.6,5.2,5,4.7,4.6,4.5,4.7,,4.96
,,Faaborg-Midtfyn,4.1,4.1,4.5,5.2,5.3,5.1,4.2,4.2,4,3.8,3.6,4,,4.34
,,Kerteminde,4.2,4.3,4.6,5.3,5.4,4.9,4.4,4.3,4.2,4.1,4.1,4.3,,4.51
,,Langeland,4.3,4.2,4.5,5.4,5.4,5,4.4,4.1,3.9,3.8,4,4,,4.42
,,Middelfart,5.9,5.6,5.9,6.7,6.5,5.9,5.4,5.2,5.3,5.4,5.5,5.6,,5.74
,,Nordfyns,3,2.9,3.2,3.9,4.2,3.7,3.3,3.3,3.3,3.1,3.2,3.3,,3.37
,,Nyborg,4.9,4.8,5,5.7,5.8,5.5,4.7,4.6,4.6,4.7,4.7,4.9,,4.99
,,Odense,4.5,4.4,5,5.6,5.7,5.5,4.8,4.6,4.4,4.3,4.5,4.6,,4.83
,,Svendborg,4.8,4.9,5.2,5.9,6.2,6.2,6.2,5.9,5.4,5.2,5,5.1,,5.50
,,Ærø,4.8,4.5,4.9,5.9,6.1,5.8,5.2,5,4.8,4.7,4.7,4.8,,5.10
,,Province Sydjylland,4.7,4.8,5.1,5.6,4.6,3.8,3.5,3,3.1,3.1,3.8,4.2,,4.11
,,Billund,3.7,3.7,3.9,4.5,4.8,4.5,4.1,4,3.9,3.8,3.7,3.8,,4.03
,,Esbjerg,3.1,3.2,3.2,3.7,4.1,3.8,3.2,3.4,3.5,3.5,3.6,3.9,,3.52
,,Fanø,3.7,3.8,4.1,4.8,4.8,4.6,4.3,4.1,4,3.9,3.8,4,,4.16
,,Fredericia,5.1,4.8,4.9,5.6,6.3,5.5,4.2,4.5,4.8,4.6,5.2,5.2,,5.06
,,Haderslev,4.5,4.4,4.7,5.3,5.7,5.7,5.3,5.1,5,4.8,4.7,4.6,,4.98
