date,country,mortality,day,month
2021-07-18,Cyprus,24.0,18,7
2021-07-25,Cyprus,44.2,25,7
2021-08-01,Cyprus,52.599999999999994,1,8
2021-08-08,Cyprus,68.2,8,8
2021-08-15,Cyprus,56.0,15,8
2021-08-22,Cyprus,38.0,22,8
2021-08-29,Cyprus,50.400000000000006,29,8
2021-09-05,Cyprus,29.799999999999997,5,9
2021-09-12,Cyprus,29.0,12,9
2021-09-19,Cyprus,26.799999999999997,19,9
2021-09-26,Cyprus,24.0,26,9
2021-10-03,Cyprus,24.200000000000003,3,10
2021-10-10,Cyprus,13.200000000000003,10,10
2021-10-17,Cyprus,25.200000000000003,17,10
2021-10-24,Cyprus,21.799999999999997,24,10
2021-10-31,Cyprus,15.599999999999994,31,10
2020-01-05,Czech Republic,-4.314285714285718,5,1
2020-01-12,Czech Republic,-1.2571428571428587,12,1
2020-01-19,Czech Republic,-10.357142857142861,19,1
2020-01-26,Czech Republic,-3.5142857142857187,26,1
2020-02-02,Czech Republic,-2.971428571428569,2,2
2020-02-09,Czech Republic,-7.957142857142853,9,2
2020-02-16,Czech Republic,-7.714285714285715,16,2
2020-02-23,Czech Republic,-10.78571428571429,23,2
2020-03-01,Czech Republic,-7.557142857142854,1,3
2020-03-08,Czech Republic,-8.357142857142858,8,3
2020-03-15,Czech Republic,-2.5571428571428547,15,3
2020-03-22,Czech Republic,4.2285714285714295,22,3
2020-03-29,Czech Republic,7.0,29,3
2020-04-05,Czech Republic,11.300000000000002,5,4
2020-04-12,Czech Republic,9.114285714285714,12,4
2020-04-19,Czech Republic,4.214285714285714,19,4
2020-04-26,Czech Republic,-5.3000000000000025,26,4
2020-05-03,Czech Republic,5.82857142857143,3,5
2020-05-10,Czech Republic,-1.7000000000000017,10,5
2020-05-17,Czech Republic,3.1714285714285717,17,5
2020-05-24,Czech Republic,-4.828571428571428,24,5
2020-05-31,Czech Republic,-7.1000000000000005,31,5
2020-06-07,Czech Republic,12.757142857142858,7,6
2020-06-14,Czech Republic,1.8285714285714276,14,6
2020-06-21,Czech Republic,5.285714285714287,21,6
2020-06-28,Czech Republic,8.62857142857143,28,6
2020-07-05,Czech Republic,9.157142857142853,5,7
2020-07-12,Czech Republic,0.7857142857142867,12,7
2020-07-19,Czech Republic,-0.34285714285714264,19,7
2020-07-26,Czech Republic,4.214285714285717,26,7
2020-08-02,Czech Republic,13.657142857142857,2,8
2020-08-09,Czech Republic,10.442857142857141,9,8
2020-08-16,Czech Republic,9.357142857142858,16,8
2020-08-23,Czech Republic,10.142857142857144,23,8
2020-08-30,Czech Republic,5.471428571428571,30,8
2020-09-06,Czech Republic,5.714285714285714,6,9
2020-09-13,Czech Republic,9.199999999999998,13,9
2020-09-20,Czech Republic,16.58571428571429,20,9
2020-09-27,Czech Republic,26.699999999999996,27,9
2020-10-04,Czech Republic,19.942857142857147,4,10
2020-10-11,Czech Republic,35.68571428571429,11,10
2020-10-18,Czech Republic,62.37142857142857,18,10
2020-10-25,Czech Republic,111.97142857142856,25,10
2020-11-01,Czech Republic,155.0,1,11
2020-11-08,Czech Republic,157.22857142857143,8,11
2020-11-15,Czech Republic,126.05714285714285,15,11
2020-11-22,Czech Republic,95.37142857142858,22,11
2020-11-29,Czech Republic,77.08571428571429,29,11
2020-12-06,Czech Republic,70.1,6,12
2020-12-13,Czech Republic,67.41428571428571,13,12
2020-12-20,Czech Republic,72.8,20,12
2020-12-27,Czech Republic,69.0,27,12
2021-01-03,Czech Republic,99.14285714285714,3,1
2021-01-10,Czech Republic,105.25714285714285,10,1
2021-01-17,Czech Republic,100.45714285714287,17,1
2021-01-24,Czech Republic,85.85714285714286,24,1
2021-01-31,Czech Republic,75.48571428571428,31,1
2021-02-07,Czech Republic,61.74285714285714,7,2
2021-02-14,Czech Republic,69.25714285714285,14,2
2021-02-21,Czech Republic,69.78571428571429,21,2
2021-02-28,Czech Republic,80.35714285714286,28,2
2021-03-07,Czech Republic,103.8,7,3
2021-03-14,Czech Republic,115.5,14,3
2021-03-21,Czech Republic,107.22857142857143,21,3
2021-03-28,Czech Republic,85.87142857142858,28,3
2021-04-04,Czech Republic,84.78571428571429,4,4
2021-04-11,Czech Republic,56.01428571428572,11,4
2021-04-18,Czech Republic,37.4,18,4
2021-04-25,Czech Republic,31.714285714285715,25,4
2021-05-02,Czech Republic,25.842857142857138,2,5
2021-05-09,Czech Republic,19.400000000000002,9,5
2021-05-16,Czech Republic,15.942857142857141,16,5
2021-05-23,Czech Republic,4.957142857142857,23,5
2021-05-30,Czech Republic,-2.0428571428571423,30,5
2021-06-06,Czech Republic,0.9714285714285715,6,6
2021-06-13,Czech Republic,0.4714285714285741,13,6
