country_region_code,variable,value,wave
Liechtenstein,Workplaces,-22.512048192771083,Second wave
Lithuania,Grocery and pharmacy,18.886361802674042,Second wave
Lithuania,Parks,15.484550977239554,Second wave
Lithuania,Residential,4.956799490658412,Second wave
Lithuania,Retail and recreation,-38.93298310610551,Second wave
Lithuania,Transit stations,-21.01203786032624,Second wave
Lithuania,Workplaces,-22.451253896902237,Second wave
Luxembourg,Grocery and pharmacy,-6.375,Second wave
Luxembourg,Parks,5.706896551724138,Second wave
Luxembourg,Residential,10.813278008298756,Second wave
Luxembourg,Retail and recreation,-33.912863070539416,Second wave
Luxembourg,Transit stations,-27.04979253112033,Second wave
Luxembourg,Workplaces,-28.645833333333332,Second wave
Latvia,Grocery and pharmacy,-2.5865688599091086,Second wave
Latvia,Parks,-6.352370689655173,Second wave
Latvia,Residential,7.909543568464731,Second wave
Latvia,Retail and recreation,-24.19505909028731,Second wave
Latvia,Transit stations,-28.204218533886586,Second wave
Latvia,Workplaces,-25.26623034357128,Second wave
Malta,Grocery and pharmacy,-4.377593360995851,Second wave
Malta,Parks,-3.8382978723404255,Second wave
Malta,Residential,9.033195020746888,Second wave
Malta,Retail and recreation,-21.456431535269708,Second wave
Malta,Transit stations,-20.510373443983404,Second wave
Malta,Workplaces,-22.57261410788382,Second wave
Netherlands,Grocery and pharmacy,-2.9094980048591497,Second wave
Netherlands,Parks,19.23203128496178,Second wave
Netherlands,Residential,9.5180450490617,Second wave
Netherlands,Retail and recreation,-29.91985321378811,Second wave
Netherlands,Transit stations,-39.96154406005022,Second wave
Netherlands,Workplaces,-23.158765651181294,Second wave
Norway,Grocery and pharmacy,-1.546024868044949,Second wave
Norway,Parks,10.6375806239322,Second wave
Norway,Residential,7.120176335317298,Second wave
Norway,Retail and recreation,-12.38172127246466,Second wave
Norway,Transit stations,-37.21137928807911,Second wave
Norway,Workplaces,-19.568540203424394,Second wave
Poland,Grocery and pharmacy,3.0026806048211796,Second wave
Poland,Parks,6.821619396488163,Second wave
Poland,Residential,6.110140110903431,Second wave
Poland,Retail and recreation,-16.013825341940834,Second wave
Poland,Transit stations,-21.967600377728765,Second wave
Poland,Workplaces,-17.23302710895771,Second wave
Portugal,Grocery and pharmacy,-1.7690641294656484,Second wave
Portugal,Parks,-14.71806830059984,Second wave
Portugal,Residential,12.875418744972679,Second wave
Portugal,Retail and recreation,-32.021102700893486,Second wave
Portugal,Transit stations,-34.61428117639613,Second wave
Portugal,Workplaces,-23.73985726803269,Second wave
Romania,Grocery and pharmacy,0.9796815616411485,Second wave
Romania,Parks,-14.989705792204095,Second wave
Romania,Residential,4.681783072608414,Second wave
Romania,Retail and recreation,-21.475958488690218,Second wave
Romania,Transit stations,-24.385154566631336,Second wave
Romania,Workplaces,-20.348237239147384,Second wave
Sweden,Grocery and pharmacy,-5.584887208272158,Second wave
Sweden,Parks,15.02344381953913,Second wave
Sweden,Residential,8.034531833797335,Second wave
Sweden,Retail and recreation,-14.743814670363793,Second wave
Sweden,Transit stations,-34.11702189932825,Second wave
Sweden,Workplaces,-20.07079716171974,Second wave
Slovenia,Grocery and pharmacy,-22.46340718715017,Second wave
Slovenia,Parks,-14.401277709359606,Second wave
Slovenia,Residential,10.290999653429349,Second wave
Slovenia,Retail and recreation,-41.01953568245961,Second wave
Slovenia,Transit stations,-33.53395556698696,Second wave
Slovenia,Workplaces,-26.21387889390765,Second wave
Slovakia,Grocery and pharmacy,-5.7856577707139145,Second wave
Slovakia,Parks,-12.801772828437413,Second wave
Slovakia,Residential,9.294337667028683,Second wave
Slovakia,Retail and recreation,-37.653801557319454,Second wave
Slovakia,Transit stations,-33.32882932513472,Second wave
Slovakia,Workplaces,-25.41056714907201,Second wave
Austria,Grocery and pharmacy,6.424741071413842,Third wave
Austria,Parks,47.35021460371277,Third wave
Austria,Residential,2.218190427668844,Third wave
Austria,Retail and recreation,-0.04017229034536287,Third wave
Austria,Transit stations,-1.7075669605907564,Third wave
Austria,Workplaces,-20.259706847878025,Third wave
Belgium,Grocery and pharmacy,20.076315789473682,Third wave
Belgium,Parks,88.11600877192983,Third wave
Belgium,Residential,4.731578947368422,Third wave
Belgium,Retail and recreation,10.307236842105263,Third wave
Belgium,Transit stations,-8.132894736842106,Third wave
Belgium,Workplaces,-19.395394736842103,Third wave
Bulgaria,Grocery and pharmacy,24.762806352486823,Third wave
Bulgaria,Parks,34.373989445660875,Third wave
Bulgaria,Residential,-3.427333487542559,Third wave
Bulgaria,Retail and recreation,-4.929697728367974,Third wave
Bulgaria,Transit stations,11.832495797410454,Third wave
Bulgaria,Workplaces,-19.33976580581953,Third wave
Switzerland,Grocery and pharmacy,11.995127484280879,Third wave
Switzerland,Parks,65.16764157853783,Third wave
Switzerland,Residential,2.573641134085213,Third wave
Switzerland,Retail and recreation,-4.374717108804186,Third wave
Switzerland,Transit stations,-7.794999999999999,Third wave
Switzerland,Workplaces,-15.58788195184317,Third wave
Czech Republic,Grocery and pharmacy,29.06419863431311,Third wave
Czech Republic,Parks,61.98066572764817,Third wave
Czech Republic,Residential,1.523985418556082,Third wave
Czech Republic,Retail and recreation,17.336916847171636,Third wave
Czech Republic,Transit stations,21.113916927447512,Third wave
Czech Republic,Workplaces,-12.018871191135736,Third wave
Germany,Grocery and pharmacy,20.76644736842105,Third wave
Germany,Parks,111.28042763157895,Third wave
Germany,Residential,3.2208059210526314,Third wave
Germany,Retail and recreation,2.5300164473684212,Third wave
Germany,Transit stations,-2.398848684210526,Third wave
Germany,Workplaces,-11.946957236842104,Third wave
Denmark,Grocery and pharmacy,7.1599872608966875,Third wave
Denmark,Parks,81.13914984075167,Third wave
Denmark,Residential,1.9700423543258851,Third wave
Denmark,Retail and recreation,19.612570527915235,Third wave
Denmark,Transit stations,-4.602957287527717,Third wave
Denmark,Workplaces,-18.53880198618572,Third wave
Estonia,Grocery and pharmacy,24.61074561403509,Third wave
Estonia,Parks,47.12280701754386,Third wave
Estonia,Residential,0.6925125313283208,Third wave
Estonia,Retail and recreation,12.785745614035088,Third wave
Estonia,Transit stations,1.1949561403508773,Third wave
Estonia,Workplaces,-12.145770676691729,Third wave
Spain,Grocery and pharmacy,22.32154149909658,Third wave
Spain,Parks,61.13234394124847,Third wave
Spain,Residential,0.6000611995104039,Third wave
Spain,Retail and recreation,-2.8349143206854346,Third wave
Spain,Transit stations,9.806762545899634,Third wave
Spain,Workplaces,-14.848837209302324,Third wave
Finland,Grocery and pharmacy,15.957896637970682,Third wave
Finland,Parks,91.01103947552653,Third wave
Finland,Residential,2.224040200708271,Third wave
Finland,Retail and recreation,13.76249710875427,Third wave
Finland,Transit stations,-22.16476961061686,Third wave
Finland,Workplaces,-18.3943439035871,Third wave
France,Grocery and pharmacy,27.684871672265416,Third wave
France,Parks,109.22802196176929,Third wave
France,Residential,1.9001688019390581,Third wave
France,Retail and recreation,6.773331457756233,Third wave
France,Transit stations,28.19626443390814,Third wave
France,Workplaces,-16.561472039473685,Third wave
United Kingdom,Grocery and pharmacy,7.611449931634124,Third wave
United Kingdom,Parks,54.40261099057852,Third wave
United Kingdom,Residential,5.989694160000485,Third wave
United Kingdom,Retail and recreation,-2.6920703967194326,Third wave
United Kingdom,Transit stations,-19.433641655930227,Third wave
United Kingdom,Workplaces,-26.075312977695457,Third wave
Greece,Grocery and pharmacy,71.31860902255639,Third wave
Greece,Parks,189.63063909774436,Third wave
Greece,Residential,-4.993421052631579,Third wave
Greece,Retail and recreation,35.52161654135339,Third wave
Greece,Transit stations,108.84304511278197,Third wave
Greece,Workplaces,-7.239661654135338,Third wave
Croatia,Grocery and pharmacy,48.88742601273765,Third wave
Croatia,Parks,172.90432235892763,Third wave
Croatia,Residential,-2.5792241019214703,Third wave
Croatia,Retail and recreation,34.76790935672515,Third wave
Croatia,Transit stations,43.26451181203987,Third wave
Croatia,Workplaces,-10.389035087719298,Third wave
Hungary,Grocery and pharmacy,32.176142659279776,Third wave
Hungary,Parks,94.51728391040504,Third wave
Hungary,Residential,0.6967105263157896,Third wave
Hungary,Retail and recreation,33.776315789473685,Third wave
Hungary,Transit stations,21.469407894736843,Third wave
Hungary,Workplaces,-11.72828947368421,Third wave
Ireland,Grocery and pharmacy,25.387724358974356,Third wave
Ireland,Parks,52.122152086988834,Third wave
Ireland,Residential,1.2641282894736843,Third wave
Ireland,Retail and recreation,7.145182186234818,Third wave
Ireland,Transit stations,-13.535080250936938,Third wave
Ireland,Workplaces,-18.328016194331983,Third wave
Italy,Grocery and pharmacy,21.733490566037734,Third wave
Italy,Parks,106.35805964190426,Third wave
Italy,Residential,1.0057100297914598,Third wave
Italy,Retail and recreation,6.427197120158888,Third wave
Italy,Transit stations,5.73420253045796,Third wave
Italy,Workplaces,-13.934520854021846,Third wave
Liechtenstein,Grocery and pharmacy,,Third wave
Liechtenstein,Parks,,Third wave
Liechtenstein,Residential,,Third wave
Liechtenstein,Retail and recreation,,Third wave
Liechtenstein,Transit stations,-18.689655172413794,Third wave
Liechtenstein,Workplaces,-21.046296296296298,Third wave
Lithuania,Grocery and pharmacy,61.79541423001949,Third wave
Lithuania,Parks,86.62264820036202,Third wave
Lithuania,Residential,-3.8739612050960734,Third wave
Lithuania,Retail and recreation,-2.0317927631578945,Third wave
Lithuania,Transit stations,7.843144971804511,Third wave
Lithuania,Workplaces,-5.2095381683375095,Third wave
Luxembourg,Grocery and pharmacy,10.927631578947368,Third wave
Luxembourg,Parks,67.10526315789474,Third wave
Luxembourg,Residential,4.125,Third wave
Luxembourg,Retail and recreation,-6.671052631578948,Third wave
Luxembourg,Transit stations,-4.203947368421052,Third wave
Luxembourg,Workplaces,-18.342105263157894,Third wave
Latvia,Grocery and pharmacy,20.36499843358396,Third wave
Latvia,Parks,32.10087719298245,Third wave
Latvia,Residential,2.648245614035088,Third wave
Latvia,Retail and recreation,-10.290996412213516,Third wave
Latvia,Transit stations,-7.923793859649123,Third wave
Latvia,Workplaces,-18.078364351324673,Third wave
Malta,Grocery and pharmacy,20.42763157894737,Third wave
Malta,Parks,48.82236842105263,Third wave
Malta,Residential,1.3026315789473684,Third wave
Malta,Retail and recreation,18.276315789473685,Third wave
Malta,Transit stations,9.105263157894736,Third wave
Malta,Workplaces,-8.539473684210526,Third wave
Netherlands,Grocery and pharmacy,11.959372258338702,Third wave
Netherlands,Parks,54.4946605042856,Third wave
Netherlands,Residential,3.9423022354698305,Third wave
Netherlands,Retail and recreation,7.323795772001417,Third wave
Netherlands,Transit stations,-21.798747274375987,Third wave
Netherlands,Workplaces,-21.03225977003626,Third wave
Norway,Grocery and pharmacy,8.749524024635447,Third wave
Norway,Parks,37.43777111040311,Third wave
Norway,Residential,2.219592417486331,Third wave
Norway,Retail and recreation,11.41233225149,Third wave
Norway,Transit stations,-20.109569056184355,Third wave
Norway,Workplaces,-20.490370054171187,Third wave
Poland,Grocery and pharmacy,43.25317629613205,Third wave
Poland,Parks,71.05816948017767,Third wave
Poland,Residential,-0.7185038225720402,Third wave
Poland,Retail and recreation,21.72419321052914,Third wave
Poland,Transit stations,14.93229475975168,Third wave
Poland,Workplaces,-5.863097064837759,Third wave
Portugal,Grocery and pharmacy,41.497726349518395,Third wave
Portugal,Parks,60.38957127271633,Third wave
Portugal,Residential,3.548408451889593,Third wave
Portugal,Retail and recreation,16.92982631109719,Third wave
Portugal,Transit stations,-4.000266471485756,Third wave
Portugal,Workplaces,-13.620924903810568,Third wave
Romania,Grocery and pharmacy,21.019070623728226,Third wave
Romania,Parks,20.90409644380055,Third wave
Romania,Residential,-1.3197637752338647,Third wave
