"Unemployment in per cent of the labour force (provisional) by sex, age, region and time",,,,,,,,,,,,,,,,
Units: Per cent,,,,,,,,,,,,,,,,
,,,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,,
,,,1.1,1.1,1.3,1.7,2,1.8,1.5,1.3,1.1,1.1,0.9,1,,1.33
,,,2,1.9,1.9,2.5,2.4,2.3,2.5,2.4,2.3,2.1,1.8,1.7,,2.15
,,,2.4,2.3,1.9,2.7,3.3,2.8,2.3,2,1.8,1.9,2.1,1.6,,2.26
,,,2.2,2,2.2,2.8,2.8,2.5,2.3,2.2,1.9,1.7,1.7,1.7,,2.17
,,,2.6,2.8,2.8,3.4,3.4,3.4,3.5,3,2.4,2.2,2.3,2.2,,2.83
,,,2.6,2.8,2.8,3.4,3.4,3.4,3.5,3,2.4,2.2,2.3,2.2,,2.83
,,,2.2,2.3,2,2.4,2.4,2.6,2.6,1.9,1.4,1.4,2.1,2,,2.11
,,,3.1,2.6,2.7,3.4,3.3,3,2.7,2.3,1.8,1.8,2.5,2.8,,2.67
,,,2.7,2.9,2.9,3.4,3.4,3.3,3.1,2.6,2.2,2,2.1,2,,2.72
,,,2.6,2.6,2.6,4,3.4,2.8,2.3,1.9,1.7,2.1,2.9,2.7,,2.63
,,,1.2,2.6,4.3,2.5,1.8,2.9,2,2,2,1.9,0,0,,1.93
,,,2.8,3.3,3.1,3.4,3.2,3.4,3.3,2.7,2.7,2.5,2.6,2.1,,2.93
,,,1.7,1.7,2,1.9,1.8,2.1,2.6,2.4,1.9,1.7,1.8,1.5,,1.93
,,,2.3,2.2,2.3,2.9,3,2.8,2,2.2,2,1.9,2.1,2.1,,2.32
,,,2,1.9,2.2,2.9,2.9,2.9,2.3,2.1,1.6,1.4,1.6,1.6,,2.12
,,,2,2.2,2.8,4,3.9,3.3,2.6,2.5,2.3,2.2,2.5,2.7,,2.75
,,,2.8,3,3.1,3.7,3.7,3.9,4.4,3.7,2.8,2.4,2.3,2.2,,3.17
,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.00
,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.00
