country_region_code,variable,value,wave
FR,Transit stations,28.19626443390814,Third wave
FR,Workplaces,-16.561472039473685,Third wave
GB,Grocery and pharmacy,7.611449931634124,Third wave
GB,Parks,54.40261099057852,Third wave
GB,Residential,5.989694160000485,Third wave
GB,Retail and recreation,-2.6920703967194326,Third wave
GB,Transit stations,-19.433641655930227,Third wave
GB,Workplaces,-26.075312977695457,Third wave
GR,Grocery and pharmacy,71.31860902255639,Third wave
GR,Parks,189.63063909774436,Third wave
GR,Residential,-4.993421052631579,Third wave
GR,Retail and recreation,35.52161654135339,Third wave
GR,Transit stations,108.84304511278197,Third wave
GR,Workplaces,-7.239661654135338,Third wave
HR,Grocery and pharmacy,48.88742601273765,Third wave
HR,Parks,172.90432235892763,Third wave
HR,Residential,-2.5792241019214703,Third wave
HR,Retail and recreation,34.76790935672515,Third wave
HR,Transit stations,43.26451181203987,Third wave
HR,Workplaces,-10.389035087719298,Third wave
HU,Grocery and pharmacy,32.176142659279776,Third wave
HU,Parks,94.51728391040504,Third wave
HU,Residential,0.6967105263157896,Third wave
HU,Retail and recreation,33.776315789473685,Third wave
HU,Transit stations,21.469407894736843,Third wave
HU,Workplaces,-11.72828947368421,Third wave
IE,Grocery and pharmacy,25.387724358974356,Third wave
IE,Parks,52.122152086988834,Third wave
IE,Residential,1.2641282894736843,Third wave
IE,Retail and recreation,7.145182186234818,Third wave
IE,Transit stations,-13.535080250936938,Third wave
IE,Workplaces,-18.328016194331983,Third wave
IT,Grocery and pharmacy,21.733490566037734,Third wave
IT,Parks,106.35805964190426,Third wave
IT,Residential,1.0057100297914598,Third wave
IT,Retail and recreation,6.427197120158888,Third wave
IT,Transit stations,5.73420253045796,Third wave
IT,Workplaces,-13.934520854021846,Third wave
LI,Grocery and pharmacy,,Third wave
LI,Parks,,Third wave
LI,Residential,,Third wave
LI,Retail and recreation,,Third wave
LI,Transit stations,-18.689655172413794,Third wave
LI,Workplaces,-21.046296296296298,Third wave
LT,Grocery and pharmacy,61.79541423001949,Third wave
LT,Parks,86.62264820036202,Third wave
LT,Residential,-3.8739612050960734,Third wave
LT,Retail and recreation,-2.0317927631578945,Third wave
LT,Transit stations,7.843144971804511,Third wave
LT,Workplaces,-5.2095381683375095,Third wave
LU,Grocery and pharmacy,10.927631578947368,Third wave
LU,Parks,67.10526315789474,Third wave
LU,Residential,4.125,Third wave
LU,Retail and recreation,-6.671052631578948,Third wave
LU,Transit stations,-4.203947368421052,Third wave
LU,Workplaces,-18.342105263157894,Third wave
LV,Grocery and pharmacy,20.36499843358396,Third wave
LV,Parks,32.10087719298245,Third wave
LV,Residential,2.648245614035088,Third wave
LV,Retail and recreation,-10.290996412213516,Third wave
LV,Transit stations,-7.923793859649123,Third wave
LV,Workplaces,-18.078364351324673,Third wave
MT,Grocery and pharmacy,20.42763157894737,Third wave
MT,Parks,48.82236842105263,Third wave
MT,Residential,1.3026315789473684,Third wave
MT,Retail and recreation,18.276315789473685,Third wave
MT,Transit stations,9.105263157894736,Third wave
MT,Workplaces,-8.539473684210526,Third wave
NL,Grocery and pharmacy,11.959372258338702,Third wave
NL,Parks,54.4946605042856,Third wave
NL,Residential,3.9423022354698305,Third wave
NL,Retail and recreation,7.323795772001417,Third wave
NL,Transit stations,-21.798747274375987,Third wave
NL,Workplaces,-21.03225977003626,Third wave
NO,Grocery and pharmacy,8.749524024635447,Third wave
NO,Parks,37.43777111040311,Third wave
NO,Residential,2.219592417486331,Third wave
NO,Retail and recreation,11.41233225149,Third wave
NO,Transit stations,-20.109569056184355,Third wave
NO,Workplaces,-20.490370054171187,Third wave
PL,Grocery and pharmacy,43.25317629613205,Third wave
PL,Parks,71.05816948017767,Third wave
PL,Residential,-0.7185038225720402,Third wave
PL,Retail and recreation,21.72419321052914,Third wave
PL,Transit stations,14.93229475975168,Third wave
PL,Workplaces,-5.863097064837759,Third wave
PT,Grocery and pharmacy,41.497726349518395,Third wave
PT,Parks,60.38957127271633,Third wave
PT,Residential,3.548408451889593,Third wave
PT,Retail and recreation,16.92982631109719,Third wave
PT,Transit stations,-4.000266471485756,Third wave
PT,Workplaces,-13.620924903810568,Third wave
RO,Grocery and pharmacy,21.019070623728226,Third wave
RO,Parks,20.90409644380055,Third wave
RO,Residential,-1.3197637752338647,Third wave
RO,Retail and recreation,-0.43209220073322024,Third wave
RO,Transit stations,-7.850466892880858,Third wave
RO,Workplaces,-14.8947563912229,Third wave
SE,Grocery and pharmacy,5.609412496167774,Third wave
SE,Parks,53.73679582774535,Third wave
SE,Residential,3.6349449567189733,Third wave
SE,Retail and recreation,8.311809267068872,Third wave
SE,Transit stations,-21.505104343486884,Third wave
SE,Workplaces,-20.333186282618353,Third wave
SI,Grocery and pharmacy,2.164709906321748,Third wave
SI,Parks,18.354041353383458,Third wave
SI,Residential,0.9429532614099939,Third wave
SI,Retail and recreation,-1.6483215576642232,Third wave
SI,Transit stations,-9.0370416493619,Third wave
SI,Workplaces,-16.227747819081774,Third wave
SK,Grocery and pharmacy,23.267750929653563,Third wave
SK,Parks,35.99977392318724,Third wave
SK,Residential,2.195056661495053,Third wave
SK,Retail and recreation,9.006901646618852,Third wave
SK,Transit stations,0.7237542016659434,Third wave
SK,Workplaces,-15.26258519520511,Third wave
