Sex, Macroregions  development regions and counties, Months, MU: Percentage, Valoare
Total, Harghita, June 2019, Percentage, 3.6
Total, Harghita, July 2019, Percentage, 3.7
Total, Harghita, August 2019, Percentage, 3.7
Total, Harghita, September 2019, Percentage, 3.6
Total, Harghita, October 2019, Percentage, 3.8
Total, Harghita, November 2019, Percentage, 3.8
Total, Harghita, December 2019, Percentage, 3.8
Total, Harghita, January 2020, Percentage, 3.8
Total, Harghita, February 2020, Percentage, 3.7
Total, Harghita, March 2020, Percentage, 3.6
Total, Harghita, April 2020, Percentage, 3.8
Total, Harghita, May 2020, Percentage, 3.7
Total, Harghita, June 2020, Percentage, 3.9
Total, Harghita, July 2020, Percentage, 4.2
Total, Harghita, August 2020, Percentage, 4.5
Total, Harghita, September 2020, Percentage, 4.1
Total, Harghita, October 2020, Percentage, 4.5
Total, Harghita, November 2020, Percentage, 4.8
Total, Harghita, December 2020, Percentage, 4.5
Total, Mures, January 2019, Percentage, 3
Total, Mures, February 2019, Percentage, 2.9
Total, Mures, March 2019, Percentage, 2.8
Total, Mures, April 2019, Percentage, 2.6
Total, Mures, May 2019, Percentage, 2.6
Total, Mures, June 2019, Percentage, 2.6
Total, Mures, July 2019, Percentage, 2.5
Total, Mures, August 2019, Percentage, 2.6
Total, Mures, September 2019, Percentage, 2.6
Total, Mures, October 2019, Percentage, 2.7
Total, Mures, November 2019, Percentage, 2.7
Total, Mures, December 2019, Percentage, 2.7
Total, Mures, January 2020, Percentage, 2.8
Total, Mures, February 2020, Percentage, 2.7
Total, Mures, March 2020, Percentage, 2.6
Total, Mures, April 2020, Percentage, 2.5
Total, Mures, May 2020, Percentage, 2.3
Total, Mures, June 2020, Percentage, 2.3
Total, Mures, July 2020, Percentage, 2.6
Total, Mures, August 2020, Percentage, 2.6
Total, Mures, September 2020, Percentage, 2.5
Total, Mures, October 2020, Percentage, 2.5
Total, Mures, November 2020, Percentage, 2.6
Total, Mures, December 2020, Percentage, 2.7
Total, Sibiu, January 2019, Percentage, 1.8
Total, Sibiu, February 2019, Percentage, 1.9
Total, Sibiu, March 2019, Percentage, 1.8
Total, Sibiu, April 2019, Percentage, 1.7
Total, Sibiu, May 2019, Percentage, 1.7
Total, Sibiu, June 2019, Percentage, 1.7
Total, Sibiu, July 2019, Percentage, 1.7
Total, Sibiu, August 2019, Percentage, 1.7
Total, Sibiu, September 2019, Percentage, 1.6
Total, Sibiu, October 2019, Percentage, 1.7
Total, Sibiu, November 2019, Percentage, 1.7
Total, Sibiu, December 2019, Percentage, 1.8
Total, Sibiu, January 2020, Percentage, 1.8
Total, Sibiu, February 2020, Percentage, 1.8
Total, Sibiu, March 2020, Percentage, 1.9
Total, Sibiu, April 2020, Percentage, 2.1
Total, Sibiu, May 2020, Percentage, 2.1
Total, Sibiu, June 2020, Percentage, 2.2
Total, Sibiu, July 2020, Percentage, 2.6
Total, Sibiu, August 2020, Percentage, 2.8
Total, Sibiu, September 2020, Percentage, 2.7
Total, Sibiu, October 2020, Percentage, 2.6
Total, Sibiu, November 2020, Percentage, 2.6
Total, Sibiu, December 2020, Percentage, 2.8
Total, MACROREGION 2, January 2019, Percentage, 4.8
Total, MACROREGION 2, February 2019, Percentage, 4.8
Total, MACROREGION 2, March 2019, Percentage, 4.6
Total, MACROREGION 2, April 2019, Percentage, 4.3
Total, MACROREGION 2, May 2019, Percentage, 4.1
Total, MACROREGION 2, June 2019, Percentage, 4.2
Total, MACROREGION 2, July 2019, Percentage, 4.3
Total, MACROREGION 2, August 2019, Percentage, 4.3
Total, MACROREGION 2, September 2019, Percentage, 4.3
Total, MACROREGION 2, October 2019, Percentage, 4.2
Total, MACROREGION 2, November 2019, Percentage, 4.2
Total, MACROREGION 2, December 2019, Percentage, 4.2
Total, MACROREGION 2, January 2020, Percentage, 4.2
Total, MACROREGION 2, February 2020, Percentage, 4.2
Total, MACROREGION 2, March 2020, Percentage, 4.1
Total, MACROREGION 2, April 2020, Percentage, 4
Total, MACROREGION 2, May 2020, Percentage, 3.9
Total, MACROREGION 2, June 2020, Percentage, 4
Total, MACROREGION 2, July 2020, Percentage, 4.3
